configuration_number,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.71,0.776868264232281,0.5580110497237569,0.004586947636132431,0.0090990990990991,0.6495893505864819
1,0.72,0.7768175478635729,0.5677966101694916,0.003042826649711613,0.006053214075981389,0.6495893505864819
1,0.73,0.7768226195004437,0.6137931034482759,0.0020209818792860713,0.004028698820813435,0.6495893505864819
1,0.74,0.7767617598579941,0.6265060240963856,0.0011807984013806258,0.0023571541896149225,0.6495893505864819
1,0.75,0.7767211867630278,0.6444444444444445,0.000658522185385349,0.001315699929678107,0.6495893505864819
1,0.76,0.7767059718524154,0.7777777777777778,0.0003179072619101685,0.0006355547485019067,0.6495893505864819
1,0.77,0.7766704703943198,1.0,6.81229846950361e-05,0.0001362366885402239,0.6495893505864819
1,0.78,0.7766603271205782,1.0,2.2707661565012036e-05,4.54142918776539e-05,0.6495893505864819
1,0.79,0.7766552554837074,0.0,0.0,0.0,0.6495893505864819
1,0.8,0.7766552554837074,0.0,0.0,0.0,0.6495893505864819
2,0.3,0.4522480030429821,0.2679383829515524,0.8385258186111995,0.406110295451921,0.649238927018478
2,0.31,0.46721947508558387,0.2713892823152957,0.8223579635769108,0.40810002197418316,0.649238927018478
2,0.32,0.4812121212121212,0.274468052157215,0.8049184794949816,0.40935179517974896,0.649238927018478
2,0.33,0.49546342081906936,0.27797177593746497,0.7881148099368727,0.41098664266767715,0.649238927018478
2,0.34,0.5092481298339039,0.2811618023043464,0.7691312048685226,0.4117904514121066,0.649238927018478
2,0.35,0.5231748446811209,0.28453924679266107,0.7493982469685272,0.4124682856107285,0.649238927018478
2,0.36,0.536842906047927,0.28818570315089725,0.7304373495617421,0.41330617961286675,0.649238927018478
2,0.37,0.5521846075820971,0.29254940192733137,0.7086607021208956,0.4141353822471701,0.649238927018478
2,0.38,0.5671053632559909,0.2964269525630161,0.6830918751986921,0.4134414513468939,0.649238927018478
2,0.39,0.582142766577913,0.3006455771209963,0.656705572460148,0.4124622943571678,0.649238927018478
2,0.4,0.597109166983644,0.30559460528049903,0.6318406830464599,0.4119475904952254,0.649238927018478
2,0.41,0.6117966273614809,0.31043853510613484,0.6044098278759253,0.41019279076576926,0.649238927018478
2,0.42,0.6258349182198555,0.31480881803462446,0.5739588537172442,0.4066018917701564,0.649238927018478
2,0.43,0.6402180803854444,0.32004388194686,0.5432126799582179,0.4027815193965517,0.649238927018478
2,0.44,0.6547787498415113,0.32557666903769944,0.5092874335800899,0.3972193934027009,0.649238927018478
2,0.45,0.6681425129960695,0.3310166171731851,0.4758617557563922,0.3904383954688577,0.649238927018478
2,0.46,0.68088753645239,0.3365306369790675,0.44136881783913895,0.38188516135370104,0.649238927018478
2,0.47,0.6924356536072017,0.34236406439854195,0.409487261001862,0.3729293764864026,0.649238927018478
2,0.48,0.7036591860022823,0.34922164721657695,0.3784913029656206,0.3632678413808886,0.649238927018478
2,0.49,0.7137872448332699,0.35594087021197474,0.3477451292065943,0.35179527233465807,0.649238927018478
2,0.5,0.7224293140611132,0.36181761786600497,0.3178618465870385,0.33841839325000606,0.649238927018478
2,0.51,0.7300469126410549,0.36747995616311935,0.28934102366138337,0.3237625774977132,0.649238927018478
2,0.52,0.7373399264612653,0.3737459283387622,0.2605477087969481,0.3070459471754663,0.649238927018478
2,0.53,0.7442170660580703,0.3815292287174928,0.23386620645805895,0.28998197995269737,0.649238927018478
2,0.54,0.750308101939901,0.38987577903082205,0.20881965575185069,0.2719704251386322,0.649238927018478
2,0.55,0.7552428046151896,0.3972549401343327,0.18533993369362822,0.25275610058218756,0.649238927018478
2,0.56,0.759518194497274,0.40453184155506583,0.16256414914392117,0.23192678383412973,0.649238927018478
2,0.57,0.7632762774185369,0.41266057475831014,0.141514146873155,0.21075414271220833,0.649238927018478
2,0.58,0.7664460504627869,0.42132416165090286,0.12239429583541486,0.1896852070172969,0.649238927018478
2,0.59,0.7688702928870292,0.4283179228542075,0.10413733593714519,0.1675404146497397,0.649238927018478
2,0.6,0.7710612400152149,0.4374645651434403,0.08760615831781643,0.14597877291560246,0.649238927018478
2,0.61,0.7729123874730569,0.449187551638667,0.07407239202506925,0.12717348927875244,0.649238927018478
2,0.62,0.7741092937745657,0.45770138186720594,0.06167400881057269,0.10870087248859361,0.649238927018478
2,0.63,0.7749968302269558,0.46619805664668185,0.051205776829102136,0.09227621483375958,0.649238927018478
2,0.64,0.7757626473944466,0.4772020725388601,0.04182751260275217,0.0769134410622573,0.649238927018478
2,0.65,0.7763712438189425,0.49074074074074076,0.03369816976247786,0.06306574306234329,0.649238927018478
2,0.66,0.7764473183720045,0.49141181399245915,0.026636087015759115,0.050533117932148625,0.649238927018478
2,0.67,0.7766755420311906,0.5011198208286675,0.020323357100685772,0.0390625,0.649238927018478
2,0.68,0.776741473310511,0.506357516828721,0.015373086879513147,0.02984022038567493,0.649238927018478
2,0.69,0.776893622416635,0.5253505933117584,0.01105863118216086,0.021661292116090292,0.649238927018478
2,0.7,0.7768530493216685,0.5319148936170213,0.007379990008628911,0.014557996819637618,0.649238927018478
2,0.71,0.7768885507797642,0.5592783505154639,0.004927562559607612,0.009769054157475351,0.649238927018478
2,0.72,0.7767921896792189,0.5569620253164557,0.0029974113265815888,0.005962732919254659,0.649238927018478
2,0.73,0.7768124762267021,0.6083916083916084,0.001975566556156047,0.003938344537244517,0.649238927018478
2,0.74,0.7767566882211233,0.625,0.0011353830782506018,0.0022666485334783986,0.649238927018478
2,0.75,0.7767211867630278,0.6511627906976745,0.000635814523820337,0.0012703886027993921,0.649238927018478
2,0.76,0.776690756941803,0.7333333333333333,0.0002497842772151324,0.0004993984518647992,0.649238927018478
2,0.77,0.7766704703943198,0.6666666666666666,0.0001362459693900722,0.00027243626126637456,0.649238927018478
2,0.78,0.776665398757449,1.0,4.541532313002407e-05,9.082652134423252e-05,0.649238927018478
2,0.79,0.7766603271205782,1.0,2.2707661565012036e-05,4.54142918776539e-05,0.649238927018478
2,0.8,0.7766552554837074,0.0,0.0,0.0,0.649238927018478
3,0.3,0.5299556231773805,0.286385553808725,0.7404287206503474,0.4130213116311473,0.6492821417431146
3,0.31,0.545160390516039,0.29064039408866993,0.7194468413642763,0.4140242667381035,0.6492821417431146
3,0.32,0.5603448713072144,0.2946054494495651,0.6945819519505881,0.4137287390525141,0.6492821417431146
3,0.33,0.576006085964245,0.29884788643597276,0.6673554657341387,0.4128277344271276,0.6492821417431146
3,0.34,0.5908558387219475,0.30319634703196346,0.6408102093646396,0.4116312822270682,0.6492821417431146
3,0.35,0.6063902624572081,0.30837024521667655,0.613379354194105,0.41041068416974336,0.6492821417431146
3,0.36,0.6215189552428046,0.3131056393963463,0.5818384122803034,0.4071246415037379,0.6492821417431146
3,0.37,0.6365867883859516,0.3184698304193506,0.5501158090739816,0.40340360342358544,0.6492821417431146
3,0.38,0.6518270571827057,0.3243960559923517,0.5162359780189836,0.3984262042254138,0.6492821417431146
3,0.39,0.6662000760745531,0.330071937955464,0.48031245742313455,0.39126534160801324,0.6492821417431146
3,0.4,0.6792037530112844,0.33560342909943364,0.44536536627458106,0.38277110432381267,0.6492821417431146
3,0.41,0.6919538481044757,0.34248203270895816,0.4122803033743585,0.37415379542714655,0.6492821417431146
3,0.42,0.7038620514771142,0.3496343788631173,0.37892274853535585,0.36368985996839753,0.6492821417431146
3,0.43,0.7143603397996704,0.35618780002341643,0.34540624006539805,0.35071417866571364,0.6492821417431146
3,0.44,0.7233929250665653,0.36266150546633885,0.3148644352604569,0.3370770128354726,0.6492821417431146
3,0.45,0.7318016989983517,0.3696267468600743,0.2846859530405559,0.32164297809020476,0.6492821417431146
3,0.46,0.738719411690123,0.3754827540284991,0.2560970071302057,0.3045063045063045,0.6492821417431146
3,0.47,0.7454139723595791,0.38343047460449625,0.23005131931513692,0.2875674141356798,0.6492821417431146
3,0.48,0.7510891340180043,0.3908543714545533,0.20495935328579862,0.26890706231100386,0.6492821417431146
3,0.49,0.7560593381513884,0.3992157641336179,0.1826377219673918,0.25061930357560175,0.6492821417431146
3,0.5,0.760025358184354,0.40593264100063114,0.16065670557246015,0.2302048253534417,0.6492821417431146
3,0.51,0.7634284265246608,0.41285752472600906,0.14028793314864435,0.20941662994474763,0.6492821417431146
3,0.52,0.7663446177253709,0.4202432326402511,0.12162223534220445,0.18864801084831728,0.6492821417431146
