model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,train_tn,train_fp,train_fn,train_tp,validation_tn,validation_fp,validation_fn,validation_tp,train_minus_validation_f1,train_minus_validation_auc,validation_confusion_matrix
AlwaysZero,0.7766535649380838,0.0,0.0,0.0,0.5,0.7766552554837074,0.0,0.0,0.0,0.5,459410,0,132115,0,153137,0,44038,0,0.0,0.0,"[153137, 0, 44038, 0]"
DecisionTree,0.580646633701027,0.301459986506341,0.66626045490671,0.4151010129590855,0.6524365052242652,0.5780702421706606,0.2981108338317487,0.6564557881829329,0.410021842112728,0.6428951324167946,255444,203966,44092,88023,85072,68065,15129,28909,0.005079170846357506,0.009541372807470583,"[85072, 68065, 15129, 28909]"
RandomForest,0.5881594184523055,0.3072318943310109,0.6725428603867842,0.42178391721257,0.6700967958667383,0.5794953721313554,0.29819242708971416,0.6521867478087107,0.4092622279220548,0.6429101464728528,259058,200352,43262,88853,85541,67596,15317,28721,0.012521689290515226,0.027186649393885487,"[85541, 67596, 15317, 28721]"
XGBoost,0.7365233929250665,0.3982476895907275,0.3516179086401998,0.37348298165709254,0.6826381002592158,0.7210092557372892,0.3576765423130805,0.31307052999682095,0.33389034195485806,0.6458448163868439,389218,70192,85661,46454,128378,24759,30251,13787,0.03959263970223448,0.03679328387237191,"[128378, 24759, 30251, 13787]"
