split,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,batch_size,actual_epochs_completed,best_epoch,encoded_feature_count,architecture,class_weight_0,class_weight_1,timesteps
train,0.5926342927179747,0.3045029059116804,0.6416606744124437,0.41301006301871074,0.6507710390789063,265785,193625,47342,84773,512,12,2,121,"Input(shape=(1, 121)) -> LSTM(64, return_sequences=True) -> Dropout(0.3) -> LSTM(32, return_sequences=False) -> Dropout(0.3) -> Dense(16,relu) -> Dropout(0.2) -> Dense(1,sigmoid)",0.6437876842036525,2.2386746395186012,1
validation,0.5915658678838596,0.30282565238532605,0.6363822153594623,0.41037317967829084,0.6473973165666649,88617,64520,16013,28025,512,12,2,121,"Input(shape=(1, 121)) -> LSTM(64, return_sequences=True) -> Dropout(0.3) -> LSTM(32, return_sequences=False) -> Dropout(0.3) -> Dense(16,relu) -> Dropout(0.2) -> Dense(1,sigmoid)",0.6437876842036525,2.2386746395186012,1
