split,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,batch_size,actual_epochs_completed,best_epoch,encoded_feature_count,architecture,class_weight_0,class_weight_1
train,0.5976771903131736,0.30649412366800094,0.6346213526094691,0.4133556831907708,0.6519441230006802,269698,189712,48272,83843,512,15,5,121,"Input -> Dense(128,relu) -> BN -> Dropout(0.3) -> Dense(64,relu) -> BN -> Dropout(0.3) -> Dense(32,relu) -> Dropout(0.2) -> Dense(1,sigmoid)",0.6437876842036525,2.2386746395186012
validation,0.595714466844174,0.3039315901122212,0.6279122575957128,0.40960161162503056,0.6472803179194686,89808,63329,16386,27652,512,15,5,121,"Input -> Dense(128,relu) -> BN -> Dropout(0.3) -> Dense(64,relu) -> BN -> Dropout(0.3) -> Dense(32,relu) -> Dropout(0.2) -> Dense(1,sigmoid)",0.6437876842036525,2.2386746395186012
