model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_tn,test_fp,test_fn,test_tp,train_minus_val_f1,val_minus_test_f1,train_minus_val_auc,val_minus_test_auc
DecisionTree,0.5806601580660158,0.3014682462215007,0.66626045490671,0.41510884328076664,0.6524486119065176,0.5780296690756942,0.29808624280794377,0.6564557881829329,0.40999858176145226,0.6428811481883386,0.5795532924899582,0.29973925858746175,0.660414632484843,0.41233430211951516,0.645984835695018,85190,67947,14955,29084,0.005110261519314374,-0.0023357203580628982,0.009567463718178959,-0.0031036875066793312
RandomForest,0.5916808249862643,0.3086611033778443,0.6680013624493812,0.4222257838421001,0.6692324502639878,0.5827868644605046,0.2990389872565925,0.6458286025705073,0.4087936412113895,0.6427803948676829,0.5836156530206515,0.2999222018965916,0.6477894593428551,0.41001171338847486,0.6445655472885553,86547,66590,15511,28528,0.013432142630710575,-0.0012180721770853609,0.026452055396304908,-0.0017851524208724046
XGBoost,0.7360601834242002,0.39726871342026904,0.3514211103962457,0.3729411244944434,0.6821980228466165,0.7212273361227336,0.3585828524106519,0.31463735864480674,0.33517580038462,0.6459704151695751,0.7232016066864121,0.36270550532815715,0.3161061786144099,0.3378063576801747,0.6485188200708845,128677,24460,30118,13921,0.03776532410982336,-0.0026305572955546697,0.03622760767704136,-0.0025484049013093646
