model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_ap,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_ap,test_tn,test_fp,test_fn,test_tp
DecisionTree,0.5780702421706606,0.2981108338317487,0.6564557881829329,0.410021842112728,0.6428951324167946,0.32813311939353484,85072,68065,15129,28909,0.5795431492676594,0.2997206963010296,0.6603465110470265,0.4123034607914026,0.6458925819927112,0.331841187716522,85191,67946,14958,29081
RandomForest,0.5794953721313554,0.29819242708971416,0.6521867478087107,0.4092622279220548,0.6429101464728528,0.32975466914999685,85541,67596,15317,28721,0.5802075303282347,0.2989932537623249,0.6541474602057268,0.41040252441430597,0.644941746409398,0.3331278242515865,85595,67542,15231,28808
XGBoost,0.7210092557372892,0.3576765423130805,0.31307052999682095,0.33389034195485806,0.6458448163868439,0.33280616675180774,128378,24759,30251,13787,0.7238710593581369,0.36374348634423526,0.31542496423624516,0.3378654472928929,0.6487702166328314,0.3362630925347404,128839,24298,30148,13891
NeuralNetwork,0.595714466844174,0.3039315901122212,0.6279122575957128,0.40960161162503056,0.6472803179194686,0.33509411330294653,89808,63329,16386,27652,0.596832271676066,0.3047792093381786,0.6284656781489134,0.41048876891930974,0.6495976405231331,0.3374856412318886,90004,63133,16362,27677
LSTM,0.5915658678838596,0.30282565238532605,0.6363822153594623,0.41037317967829084,0.6473973165666649,0.33471231352608366,88617,64520,16013,28025,0.5926887653669818,0.3037366490276921,0.6373441722109948,0.4114094746716698,0.6500393618826363,0.3378027387364574,88796,64341,15971,28068
